t,c,w,R,Rate_c,Rate_w,
34.7,1.,-1.18132753068e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769711887237e+029,
34.8,1.,-1.1813325498673e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769699339269e+029,
34.9,1.,-1.1813374451305e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769687101111e+029,
35.,1.,-1.1813422195293e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769675165114e+029,
35.1,1.,-1.1813468760477e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769663523818e+029,
35.2,1.,-1.1813514175962e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769652169946e+029,
35.3,1.,-1.1813558470135e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769641096403e+029,
35.4,1.,-1.1813601670681e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769630296267e+029,
35.5,1.,-1.1813643804602e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769619762786e+029,
35.6,1.,-1.1813684898233e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769609489379e+029,
35.7,1.,-1.1813724977258e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769599469622e+029,
35.8,1.,-1.1813764066729e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769589697255e+029,
35.9,1.,-1.1813802191077e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769580166168e+029,
36.,1.,-1.1813839374132e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769570870404e+029,
36.1,1.,-1.1813875639133e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769561804154e+029,
36.2,1.,-1.1813911008749e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.476955296175e+029,
36.3,1.,-1.1813945505086e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769544337665e+029,
36.4,1.,-1.1813979149705e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769535926511e+029,
36.5,1.,-1.1814011963636e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769527723028e+029,
36.6,1.,-1.1814043967387e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.476951972209e+029,
36.7,1.,-1.1814075180964e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769511918696e+029,
36.8,1.,-1.1814105623874e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769504307968e+029,
36.9,1.,-1.1814135315146e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.476949688515e+029,
