t,XA0,XB0,XC0,XD0,XE0,XA8,XB8,XC8,XD8,XE8,
78.,0.79499332632863,0.1941943754032,1.0379883118924e-002,4.4338891370053e-005,3.8807180580999e-004,0.1466167151861,0.18947260377984,0.1994736754087,0.1999977841077,0.26443922146428,
79.,0.7941382159093,0.19502686100894,1.0439432235915e-002,4.4600937514991e-005,3.5088588283358e-004,0.1458388722327,0.18928208941086,0.19946348486864,0.19999774057385,0.26541781286468,
80.,0.79327324851427,0.19586514361553,1.0499476030385e-002,4.4865077212842e-005,3.1726312280749e-004,0.14506110983715,0.18909056976701,0.19945322574901,0.19999769673954,0.26639739786174,
81.,0.79239853903178,0.19670942944548,1.0560034713057e-002,4.5131408164625e-005,2.8686211047025e-004,0.14428343776768,0.188898037088,0.19944289742008,0.19999765260208,0.26737797507998,
82.,0.79151418057278,0.19755991453591,1.0621127747563e-002,4.5400024421056e-005,2.5937414361182e-004,0.14350586571937,0.1887044833933,0.19943249923078,0.19999760815867,0.26835954345873,
83.,0.79062024647892,0.19841678578704,1.0682773928009e-002,4.567101673865e-005,2.3452009870266e-004,0.14272840333426,0.18850990049075,0.19942203050934,0.19999756340643,0.26934210222283,
84.,0.78971679212918,0.1992802219174,1.074499145089e-002,4.5944472911722e-005,2.120475968341e-004,0.14195106021965,0.18831427998424,0.19941149056383,0.19999751834236,0.27032565085602,
85.,0.78880385656515,0.20015039433409,1.0807797981789e-002,4.6220478081904e-005,1.9172844119569e-004,0.14117384596489,0.18811761328055,0.19940087868259,0.19999747296338,0.27131018907692,
86.,0.78788146395322,0.20102746792554,1.0871210717218e-002,4.6499115026674e-005,1.7335630007484e-004,0.14039677015664,0.18791989159536,0.19939019413471,0.19999742726633,0.27229571681733,
87.,0.78694962489986,0.20191160178352,1.0935246441983e-002,4.6780464428339e-005,1.567446118548e-004,0.13961984239289,0.18772110595858,0.19937943617034,0.19999738124792,0.27328223420247,
88.,0.78600833763481,0.20280294986089,1.0999921582398e-002,4.7064605124834e-005,1.4172469074089e-004,0.13884307229581,0.18752124721899,0.19936860402102,0.19999733490482,0.27426974153322,
89.,0.78505758907518,0.20370166157059,1.1065252255665e-002,4.7351614343618e-005,1.2814401398333e-004,0.13806646952351,0.18732030604834,0.19935769689993,0.19999728823358,0.27525823926999,
90.,0.78409735578249,0.20460788233129,1.1131254315727e-002,4.764156791988e-005,1.1586467320678e-004,0.13729004378095,0.18711827294484,0.19934671400209,0.19999724123067,0.27624772801816,
91.,0.78312760482318,0.20552175406436,1.1197943395853e-002,4.7934540500189e-005,1.0476197412391e-004,0.13651380482992,0.18691513823616,0.19933565450454,0.19999719389249,0.27723820851483,
92.,0.78214829454218,0.20644341564663,1.1265334948225e-002,4.8230605732672e-005,9.472317041572e-005,0.13573776249827,0.18671089208205,0.19932451756646,0.19999714621534,0.27822968161693,
